id,playtime_forever
0,0.0
1,2.216036370472699
2,0.9468584461015558
3,2.196622442595405
4,7.226909898253869
5,0.2974059688266976
6,2.1667113252438788
7,1.357664867334938
8,0.0
9,5.531586714226065
10,0.16626354931933265
11,0.0
12,0.0
13,0.0
14,0.0
15,0.45842216877211533
16,0.5024699362380699
17,1.3310776365118002
18,7.24664971533882
19,0.0
20,1.6785345005400216
21,0.6571125464850722
22,0.0
23,0.5184710579696709
24,0.4188921022466192
25,0.15178161038758198
26,1.5016831050676942
27,1.0706327204536372
28,1.1931859810977443
29,2.990940636038548
30,0.0
31,7.126760763614271
32,0.21914079988624702
33,0.0
34,1.1069806366635122
35,0.0
36,1.8252282216478815
37,12.504305738360918
38,1.5229686260597697
39,0.0
40,0.0
41,3.0119206418120386
42,0.38003254634898437
43,0.0
44,1.1299858903595756
45,0.0
46,0.0
47,0.5106662211629162
48,0.0
49,10.233140694672612
50,4.322372529976117
51,0.2082231758048724
52,0.0
53,4.174531232503191
54,0.0
55,1.4275254218794966
56,2.377207050563157
57,0.9723047289664941
58,0.0
59,0.21561580189564067
60,0.29491939424488706
61,2.3771898233871
62,0.9360958329668089
63,17.321392997261064
64,0.41875223160453245
65,1.4288644081606012
66,0.8573054473191019
67,1.2231474386913377
68,0.0
69,1.0993075096952596
70,2.139773328184591
71,11.208399363268002
72,1.5804372355765175
73,21.16247760918789
74,0.7725428104761831
75,22.443353253605355
76,7.579446328992598
77,0.0
78,0.0
79,0.8845649597916164
80,0.8622593830874407
81,1.359633959656384
82,0.7903954601869881
83,5.008769986990145
84,3.9337162111261925
85,1.6692866778219868
86,0.986038665670191
87,0.2328586388038049
88,0.0
89,6.5142927345908985
